@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.11649,0.60465,n
0.93495,0.19937,p
0.19771,0.00150,p
0.26932,0.58281,n
0.70385,0.82708,p
0.16321,0.55737,n
0.15479,0.62695,n
0.56356,0.06330,p
0.47944,0.31944,p
0.02429,0.43425,p
0.96214,0.76164,p
0.11891,0.42977,n
0.27199,0.38430,n
0.33875,0.55224,n
0.16142,0.49545,n
0.06766,0.57050,p
0.52070,0.86123,p
0.48527,0.52023,p
0.34732,0.55779,p
0.99556,0.69368,n
0.39903,0.60878,p
0.34842,0.26917,p
0.34853,0.99990,p
0.21607,0.82822,p
0.27682,0.66445,p
0.24104,0.43696,p
0.69873,0.03134,p
0.63843,0.26929,p
0.66121,0.31692,p
0.97924,0.04843,p
0.14530,0.55168,n
0.24335,0.55997,n
0.16781,0.50553,n
0.21249,0.53322,n
0.27579,0.41245,n
0.34529,0.39630,n
0.06703,0.44626,p
0.45061,0.77796,p
0.01349,0.14774,p
0.66685,0.36703,p
0.12287,0.38506,p
0.25272,0.40314,n
0.14536,0.57836,n
0.33181,0.48518,n
0.34226,0.51232,n
0.08880,0.49673,n
0.35395,0.40671,p
0.73087,0.04333,p
0.60392,0.16355,p
0.41978,0.31418,n
0.67371,0.93529,p
0.22831,0.49601,n
0.20713,0.57748,n
0.27216,0.53865,n
0.96904,0.21787,p
0.06548,0.37557,p
0.90848,0.09521,p
0.08773,0.53531,n
0.12160,0.67349,p
0.19531,0.57683,n
0.20591,0.64449,n
0.97472,0.44054,n
0.12449,0.49634,n
0.28291,0.51720,n
0.14426,0.63683,n
0.15435,0.76320,p
0.26953,0.46783,n
0.78007,0.57832,p
0.70825,0.14136,p
0.05861,0.33286,p
0.28534,0.62201,n
0.42387,0.61129,p
0.10698,0.38489,n
0.25710,0.48480,n
0.23744,0.63707,n
0.09663,0.05729,n
0.60078,0.30137,p
0.19840,0.37449,n
0.66945,0.46122,p
0.28329,0.51312,n
0.47290,0.85293,p
0.15249,0.40509,n
0.11583,0.48955,p
0.48390,0.12580,p
0.23420,0.54863,n
0.19793,0.96673,p
0.28490,0.60792,n
0.02331,0.93729,p
0.50212,0.42188,p
0.76130,0.72237,p
0.41450,0.08564,p
0.18502,0.58714,n
0.31565,0.44023,n
0.69481,0.15453,p
0.84532,0.49125,p
0.72338,0.99187,p
0.11663,0.37884,n
0.75887,0.30969,p
0.86406,0.18922,n
0.63942,0.16976,p
0.47524,0.24074,p
0.21142,0.52012,n
0.90146,0.35758,p
0.33087,0.49438,n
0.29878,0.42857,n
0.73976,0.85641,p
0.13734,0.56294,n
0.22378,0.59719,n
0.32466,0.44559,p
0.71049,0.54624,p
0.32821,0.48171,p
0.49319,0.24501,p
0.05907,0.33157,p
0.28323,0.40448,n
0.02377,0.90505,p
0.15667,0.42118,n
0.75688,0.86361,p
0.11236,0.47837,n
0.90432,0.97028,p
0.26431,0.58991,n
0.44293,0.51919,p
0.26017,0.53662,n
0.18811,0.49257,n
0.65854,0.52098,p
0.10045,0.56409,p
0.35211,0.72327,n
0.23346,0.43065,n
0.17116,0.38029,n
0.67044,0.63009,p
0.92314,0.81156,p
0.67767,0.41520,p
0.14388,0.57638,n
0.21582,0.39958,n
0.22425,0.72885,p
0.11379,0.61917,n
0.63764,0.52827,p
0.54649,0.25641,p
0.26809,0.37110,n
0.29383,0.99565,p
0.18802,0.37845,n
0.29469,0.48604,n
0.29447,0.94020,p
0.11291,0.39389,n
0.29188,0.10724,p
0.94647,0.96267,p
0.14909,0.59818,p
0.14982,0.51338,n
0.60642,0.24788,n
0.33477,0.44367,n
0.21073,0.61062,p
0.55392,0.67281,p
0.75744,0.45803,p
0.92565,0.26391,p
0.73795,0.82117,p
0.97419,0.96293,p
0.45221,0.10325,p
0.31104,0.68800,p
0.86603,0.74310,p
0.31013,0.46259,n
0.28473,0.47612,n
0.54059,0.30284,p
0.06824,0.48162,n
0.33010,0.56379,n
0.01937,0.79444,p
0.18492,0.41859,n
0.09740,0.14971,p
0.17933,0.44762,n
0.79660,0.26807,p
0.15771,0.45973,p
0.59460,0.65889,p
0.29012,0.49873,n
0.10767,0.55471,p
0.20781,0.41171,n
0.13088,0.59656,n
0.49018,0.79800,p
0.22474,0.57932,n
0.23911,0.48307,n
0.29888,0.53467,n
0.23735,0.92471,p
0.24478,0.52276,p
0.36455,0.86317,p
0.47649,0.67965,p
0.63876,0.80815,p
0.26495,0.39025,n
0.26940,0.62025,n
0.24643,0.01325,p
0.44180,0.30159,p
0.38101,0.80758,p
0.65215,0.03848,p
0.18549,0.45903,n
0.19873,0.60521,p
0.13645,0.53987,n
0.71937,0.92731,p
0.28449,0.13141,p
0.10325,0.41904,n
0.23172,0.39735,n
0.63015,0.02759,p
0.71009,0.89151,p
0.19289,0.48928,n
0.17383,0.60586,n
0.21140,0.51478,n
0.17093,0.45160,n
0.13794,0.46397,n
0.28952,0.61518,n
0.55057,0.63873,p
0.23047,0.45496,p
0.07604,0.20706,p
0.12744,0.47663,p
0.10443,0.42217,n
0.78935,0.36706,p
0.39912,0.81792,p
0.67158,0.00707,n
0.29585,0.45093,n
0.26406,0.41949,n
0.29564,0.43637,n
0.11478,0.40490,p
0.14938,0.58835,n
0.59780,0.97392,p
0.40650,0.48217,p
0.21974,0.50552,p
0.31633,0.42860,n
0.04265,0.84756,p
0.16058,0.42091,n
0.33540,0.75985,p
0.05965,0.10979,p
0.61875,0.00944,p
0.12679,0.62056,n
0.39372,0.37916,p
0.22213,0.45269,n
0.17761,0.40986,p
0.79932,0.60957,p
0.70927,0.69663,p
0.71890,0.54454,n
0.29698,0.39132,n
0.27394,0.37783,n
0.27419,0.37151,n
0.94520,0.52421,p
0.29557,0.49550,n
0.88120,0.05967,p
0.22651,0.63599,n
0.28353,0.38608,p
0.96588,0.34555,p
0.18020,0.50330,n
0.00338,0.22088,p
0.22778,0.56039,n
0.53934,0.12751,n
0.13502,0.47823,n
0.88832,0.51204,p
0.30370,0.53472,n
0.65307,0.34095,p
0.34116,0.50129,n
0.86267,0.75530,p
0.17989,0.45970,n
0.18677,0.60028,n
0.15334,0.56534,n
0.20700,0.61651,n
0.88138,0.81692,p
0.15537,0.26398,n
0.72474,0.72402,p
0.67905,0.29305,p
0.33103,0.94623,p
0.19485,0.85553,p
0.27505,0.40142,n
0.14449,0.99490,p
0.90434,0.61981,p
0.87345,0.95757,p
0.95275,0.66671,p
0.92574,0.94260,p
0.00405,0.58482,p
0.33622,0.52772,n
0.16976,0.37333,n
0.35270,0.17157,p
0.75433,0.65036,p
0.09350,0.41517,p
0.96841,0.45378,p
0.08564,0.52246,n
0.16690,0.55077,n
0.20499,0.43567,n
0.15187,0.58476,n
0.22073,0.10456,p
0.26910,0.62601,n
0.11740,0.40334,n
0.97908,0.16647,p
0.92940,0.41478,p
0.37390,0.91815,p
0.24329,0.39205,n
0.29701,0.53971,n
0.22540,0.47392,n
0.25943,0.42186,n
0.81153,0.31161,p
0.32428,0.48371,n
0.11317,0.48608,n
0.50409,0.71137,p
0.13154,0.52466,n
0.22047,0.70431,p
0.16460,0.37167,n
0.23256,0.61394,n
0.29911,0.15754,p
0.20902,0.46074,n
0.42372,0.52897,p
0.82358,0.48236,p
0.81270,0.71438,p
0.40237,0.06201,p
0.20246,0.56929,n
0.00379,0.40325,p
0.26062,0.05062,p
0.08371,0.58814,n
0.25344,0.51276,n
0.31492,0.52086,n
0.26441,0.24461,p
0.34164,0.45941,n
0.86601,0.89278,p
0.13935,0.36718,n
0.20803,0.36244,n
0.16831,0.62530,n
0.32038,0.58013,n
0.22217,0.55672,n
0.46983,0.89713,p
0.29075,0.61582,n
0.19452,0.37302,n
0.16598,0.46458,n
0.08526,0.45208,p
0.24204,0.61210,n
0.20447,0.97403,p
0.24149,0.42409,n
0.26045,0.54006,n
0.15798,0.39489,n
0.24506,0.10603,p
0.27521,0.59705,p
0.25819,0.30255,p
0.80150,0.59898,p
0.33457,0.78889,p
0.20260,0.39434,n
0.26612,0.52617,n
0.20308,0.36755,n
0.91930,0.36251,p
0.52086,0.91427,p
0.04695,0.75233,p
0.24658,0.53582,n
0.65194,0.61925,p
0.27681,0.59695,n
0.21467,0.58576,n
0.31399,0.56802,n
0.76500,0.90506,p
0.59726,0.07702,p
0.23958,0.29264,p
0.43545,0.40986,n
0.06243,0.39169,p
0.32478,0.56092,n
0.10497,0.44539,n
0.19141,0.16147,p
0.92814,0.09298,p
0.36655,0.79155,p
0.27735,0.43003,n
0.16302,0.49711,n
0.49388,0.18440,n
0.27735,0.57853,n
0.12368,0.59277,n
0.11276,0.54443,n
0.34348,0.62603,p
0.14534,0.33822,n
0.17167,0.42423,p
0.99826,0.62293,p
0.04024,0.17866,p
0.30042,0.53779,n
0.66842,0.66776,p
0.27755,0.61878,n
0.12891,0.28449,p
0.03067,0.73907,p
0.09958,0.54352,n
0.09823,0.48064,n
0.65167,0.16057,p
0.06156,0.46659,n
0.16570,0.42771,n
0.31816,0.58802,p
0.24693,0.60908,n
0.55983,0.38910,p
0.38542,0.09611,p
0.84687,0.28295,p
0.30124,0.46744,n
0.21830,0.41418,n
0.17063,0.09934,p
0.01742,0.70284,n
0.93745,0.83308,p
0.16376,0.37365,n
0.56904,0.10465,p
0.06874,0.54770,n
0.25223,0.54451,n
0.79750,0.66221,p
0.23345,0.40569,n
0.84478,0.24198,p
0.80511,0.51010,p
0.51123,0.71512,p
0.81563,0.52547,p
0.08255,0.78976,p
0.78916,0.11857,p
0.12732,0.66558,n
0.70390,0.66029,p
0.09767,0.51233,p
0.51603,0.18994,p
0.89612,0.84348,p
0.26659,0.74408,p
0.07923,0.90192,p
0.07158,0.42669,n
0.73188,0.08013,p
0.25969,0.34638,p
0.87467,0.67410,p
0.94716,0.56757,p
0.20376,0.55720,n
0.28714,0.45434,n
0.31182,0.49171,n
0.29638,0.39698,n
0.12474,0.47822,n
0.60533,0.75378,p
0.22026,0.41288,p
0.28356,0.61382,p
0.07575,0.53535,n
0.27331,0.57095,n
0.09573,0.46540,n
0.55986,0.82808,p
0.84182,0.33114,p
0.13840,0.39781,p
0.30221,0.58281,n
0.09474,0.50125,n
0.21908,0.45024,n
0.16281,0.80368,p
0.19666,0.64134,n
0.23968,0.44913,n
0.18839,0.64728,p
0.07002,0.57423,n
0.10566,0.61558,n
0.20024,0.45405,n
0.23459,0.46770,n
0.25958,0.62101,n
0.54453,0.86365,p
0.23751,0.38465,n
0.30428,0.55021,n
0.63510,0.84199,p
0.61184,0.49427,p
0.73369,0.75268,p
0.17341,0.22860,p
0.15519,0.39737,n
0.85744,0.05232,p
0.98702,0.18103,p
0.68830,0.66278,p
0.20293,0.52641,p
0.24507,0.49965,n
0.09966,0.42355,n
0.10021,0.43318,n
0.20798,0.38208,n
0.84719,0.00524,p
0.13217,0.40662,n
0.92404,0.52175,p
0.25425,0.50585,n
0.22655,0.50551,n
0.15362,0.63591,n
0.29464,0.46772,p
0.12714,0.51697,n
0.13877,0.53555,n
0.99718,0.03089,p
0.51664,0.59018,p
0.18141,0.42585,n
0.27296,0.59525,n
0.90152,0.89155,p
0.88129,0.72654,p
0.17536,0.51652,n
0.30360,0.50799,n
0.40472,0.42789,p
0.17820,0.48629,n
0.21253,0.47681,n
0.18956,0.38437,p
0.12930,0.03699,p
0.40577,0.46259,p
0.25358,0.62882,n
0.18365,0.47308,n
0.80743,0.38140,p
0.13261,0.58760,n
0.29791,0.47272,n
0.76529,0.88112,p
0.35991,0.40960,p
0.31111,0.47394,n
0.73785,0.28285,p
0.38973,0.01099,p
0.08914,0.52749,n
0.06594,0.39074,p
0.95578,0.62502,p
0.74921,0.02304,p
0.72540,0.88406,p
0.20059,0.52285,n
0.84570,0.61632,p
0.25001,0.55410,n
0.24069,0.42102,n
0.55946,0.41536,p
0.29248,0.59325,n
0.69982,0.92340,p
0.63049,0.29209,p
0.82151,0.76708,p
0.73270,0.79560,p
0.26251,0.28846,p
0.16418,0.46098,n
0.27453,0.49569,n
0.25665,0.36498,n
0.57863,0.51260,p
0.17791,0.52193,n
0.15145,0.62466,n
0.08009,0.55679,n
0.26968,0.07859,p
0.02727,0.78081,p
0.23330,0.44079,n
0.22037,0.46353,n
0.09384,0.57655,n
0.84691,0.46196,p
0.08316,0.41040,n
0.49916,0.36784,p
0.30744,0.57902,n
0.69244,0.00814,p
0.11880,0.44297,n
0.92922,0.73838,p
0.86292,0.30380,p
0.70411,0.72587,p
0.25848,0.62553,n
0.67731,0.35856,p
0.34248,0.20291,n
0.08950,0.40127,n
0.88617,0.39829,p
0.49636,0.86694,p
0.76922,0.27543,p
0.98408,0.91098,p
0.84581,0.11057,p
0.29123,0.52147,n
0.26217,0.40007,n
0.48310,0.80593,p
0.42287,0.36628,p
0.07169,0.77238,p
0.06878,0.44952,n
0.25412,0.48244,n
0.34899,0.61927,p
0.65896,0.41485,p
0.54770,0.68414,p
0.53930,0.46891,p
0.25753,0.40896,n
0.23251,0.39980,p
0.32173,0.56488,n
0.48306,0.82313,n
0.49107,0.25035,p
0.53198,0.74453,p
0.25761,0.48470,n
0.16657,0.51455,n
0.97487,0.32685,p
0.03195,0.52243,p
0.93228,0.67025,p
0.53865,0.32689,p
0.24002,0.63231,n
0.26701,0.47127,p
0.68546,0.86823,p
0.66370,0.19283,p
0.10466,0.51199,n
0.57759,0.17535,p
0.19795,0.46285,n
0.08899,0.86232,p
0.22281,0.49259,n
0.24297,0.47641,n
0.25289,0.63988,n
0.34727,0.50705,n
0.16630,0.56659,n
0.20725,0.46183,n
0.12620,0.47395,n
0.17851,0.41878,n
0.17131,0.45034,n
0.23156,0.46923,n
0.17224,0.40384,n
0.69783,0.54216,p
0.82305,0.10184,p
0.20785,0.37486,n
0.61277,0.93384,p
0.56692,0.03509,p
0.99498,0.44709,n
0.59545,0.62679,p
0.13724,0.53368,n
0.19066,0.44364,n
0.24408,0.62755,n
0.88164,0.19506,p
0.26317,0.60014,n
0.28056,0.44088,n
0.31283,0.46516,n
0.31419,0.48797,p
0.65547,0.12430,p
0.55972,0.55543,n
0.17772,0.56091,n
0.18480,0.50703,n
0.20424,0.57028,n
0.88221,0.44256,n
0.33621,0.46214,n
0.12864,0.60350,n
0.25359,0.62902,n
0.85206,0.38017,p
0.08863,0.58437,n
0.09125,0.89204,p
0.15956,0.60714,n
0.80498,0.64740,p
0.90243,0.82661,p
0.80588,0.97157,p
0.23017,0.56869,n
0.48245,0.98695,p
0.09971,0.55703,n
0.16383,0.55456,n
0.12663,0.54993,n
0.28632,0.74726,n
0.27394,0.52809,n
0.19322,0.47741,n
0.23600,0.48773,n
0.48151,0.76520,n
0.30623,0.41718,n
0.04932,0.71028,n
0.27764,0.76886,p
0.33610,0.60150,p
0.87781,0.22663,p
0.01288,0.96745,p
0.55798,0.54270,p
0.73449,0.54977,p
0.71542,0.55526,p
0.12143,0.54869,n
0.59548,0.51477,n
0.19998,0.41954,n
0.06573,0.45655,n
0.09253,0.39617,p
0.27781,0.45237,n
0.66091,0.66985,p
0.88231,0.91919,p
0.33886,0.27344,n
0.47578,0.57085,p
0.32873,0.51635,n
0.17506,0.05828,p
0.80089,0.99101,p
0.23224,0.42575,p
0.18761,0.49858,n
0.16376,0.55870,n
0.43039,0.36153,p
0.66708,0.40974,p
0.32367,0.33591,p
0.27579,0.45416,n
0.13719,0.96014,p
0.47657,0.30495,p
0.72524,0.09436,p
0.07839,0.43116,n
0.17585,0.58652,n
0.07205,0.42804,n
0.95210,0.61859,p
0.88530,0.68613,p
0.34355,0.89358,p
0.78911,0.72428,p
0.29544,0.44000,n
0.13927,0.39131,n
0.20419,0.59518,n
0.22828,0.61341,n
0.33491,0.49127,n
0.52029,0.16329,p
0.22908,0.53798,n
0.10142,0.53021,p
0.27604,0.56250,n
0.07411,0.99905,n
0.11550,0.40515,n
0.23772,0.61922,n
0.17356,0.59128,n
0.35511,0.37300,p
0.20963,0.61381,n
0.22897,0.45377,n
0.07151,0.76123,p
0.27841,0.15728,p
0.21466,0.48713,n
0.52527,0.28051,p
0.19686,0.15039,p
0.31177,0.91326,p
0.11969,0.45838,n
0.22134,0.42071,n
0.80923,0.20223,n
0.84489,0.41829,p
0.43632,0.90027,p
0.32287,0.46520,n
0.22514,0.45685,n
0.19267,0.55904,n
0.10593,0.40123,n
0.28575,0.38109,n
0.23692,0.59029,n
0.14863,0.55593,n
0.20139,0.68867,p
0.07405,0.48512,n
0.30652,0.86312,p
0.10797,0.52740,n
0.22974,0.51488,n
0.27828,0.46682,n
0.02236,0.25542,p
0.50210,0.34050,p
0.10010,0.56198,n
0.10857,0.96073,p
0.29649,0.45918,p
0.38703,0.08324,p
0.81385,0.23491,n
0.21103,0.49411,n
0.28024,0.51121,n
0.61725,0.42318,p
0.34026,0.45104,n
0.23633,0.62452,n
0.18873,0.44331,n
0.21672,0.59322,p
0.30188,0.60952,n
0.33375,0.53324,n
0.31916,0.19051,p
0.49719,0.71638,p
0.30786,0.49632,n
0.19670,0.42038,p
0.07601,0.54669,n
0.08635,0.42194,n
0.21186,0.54161,n
0.33203,0.47763,n
0.14953,0.49304,n
0.28512,0.59738,n
0.12334,0.52674,n
0.15451,0.39561,p
0.31268,0.71091,p
0.12919,0.67159,p
0.32491,0.47311,p
0.28740,0.39006,n
0.22690,0.64221,n
0.27439,0.48670,n
0.28486,0.57545,n
0.24218,0.61633,n
0.37548,0.77626,p
0.97020,0.36237,p
0.02175,0.07206,p
0.05612,0.37592,p
0.22493,0.47178,n
0.15137,0.39730,n
0.50410,0.22712,p
0.51994,0.56752,p
0.17717,0.61617,n
0.14587,0.17748,p
0.15998,0.88865,p
0.35415,0.68836,n
0.98658,0.36341,p
0.56291,0.81217,p
0.18546,0.59981,n
0.98960,0.39954,n
0.31710,0.98928,p
0.08095,0.58008,n
0.09095,0.58132,p
0.22277,0.59395,n
0.39676,0.68034,p
0.06305,0.77366,p
0.30470,0.68415,p
0.81779,0.37569,p
0.24539,0.51891,p
0.20698,0.61919,n
0.18846,0.88295,p
0.28123,0.78792,p
0.74107,0.60992,p
0.17004,0.54011,n
0.16607,0.86201,p
0.07476,0.95610,n
0.06937,0.45791,n
0.30496,0.44884,n
0.16516,0.41889,n
0.31689,0.72716,p
0.48123,0.22334,p
0.17220,0.38374,n
0.26599,0.36736,n
0.70619,0.77676,n
0.09819,0.57113,n
0.22462,0.62307,n
0.17969,0.63907,n
0.51721,0.13603,p
0.93832,0.79078,p
0.07053,0.51337,p
0.12258,0.47768,n
0.27400,0.60230,n
0.08687,0.34780,p
0.17270,0.49363,n
0.12807,0.55809,n
0.62538,0.69313,p
0.25732,0.16890,p
0.30023,0.39972,p
0.19386,0.53730,n
0.14093,0.58852,n
0.33054,0.45518,n
0.05055,0.50539,n
0.95122,0.90836,p
0.18578,0.33030,p
0.73624,0.31735,n
0.82869,0.97151,n
0.54192,0.95808,p
0.09471,0.25648,p
0.53357,0.68979,p
0.21647,0.46165,p
0.21172,0.84049,p
0.14763,0.44171,n
0.54809,0.98997,p
0.34735,0.51771,n
0.16037,0.50275,n
0.07849,0.48027,n
0.23740,0.59374,n
0.34405,0.46864,n
0.12651,0.40952,n
0.09075,0.03806,p
0.19547,0.49992,n
0.45520,0.06630,p
0.16495,0.44634,n
0.88440,0.45229,p
0.40899,0.81414,n
0.27817,0.29654,p
0.97653,0.87218,p
0.20476,0.44933,n
0.98010,0.52982,p
0.20641,0.57471,n
0.05724,0.30866,p
0.86096,0.66684,p
0.09386,0.48856,n
0.14945,0.38061,n
0.14995,0.56674,n
0.25474,0.57223,n
0.23060,0.39137,p
0.72427,0.55459,p
0.15944,0.71325,p
0.86654,0.37071,p
0.96449,0.01353,p
0.68487,0.08387,n
0.11070,0.48446,n
0.41567,0.58613,p
0.32749,0.57524,p
0.17637,0.64928,p
0.93794,0.24556,n
0.10239,0.62467,p
0.50190,0.02636,p
0.99766,0.77692,p
0.14043,0.57474,n
0.29417,0.39590,n
0.24333,0.63973,n
0.32275,0.57439,n
0.31296,0.42513,n
0.03168,0.68529,p
0.27045,0.59366,n
0.21863,0.55352,p
0.20766,0.63944,n
0.16734,0.55041,n
0.68706,0.19815,p
0.25675,0.58057,n
0.57119,0.67293,p
0.53210,0.13629,p
0.54829,0.98500,p
0.09916,0.39648,n
0.23758,0.63293,p
0.21136,0.36320,n
0.27533,0.58052,n
0.54038,0.29567,p
0.09961,0.54528,n
0.13204,0.62915,n
0.00461,0.70528,p
0.17617,0.52429,n
0.32439,0.51765,n
0.26227,0.02779,n
0.30960,0.58988,n
0.07637,0.82907,p
0.43917,0.25782,p
0.25427,0.58538,n
0.91795,0.35997,p
0.57557,0.51799,p
0.17720,0.52438,n
0.02519,0.55993,p
0.58233,0.12213,p
0.28928,0.61924,n
0.79157,0.69516,p
0.10642,0.49239,n
0.93127,0.65484,p
0.29719,0.63519,p
0.34543,0.49819,n
0.20939,0.40811,n
0.03623,0.22029,p
0.66064,0.59163,n
0.18606,0.56836,n
0.77683,0.26633,p
0.82661,0.40354,p
0.67158,0.13270,p
0.18964,0.52166,n
0.21616,0.51750,n
0.14720,0.51115,n
0.30109,0.52347,n
0.59679,0.86190,p
0.17379,0.48134,n
0.21459,0.37546,p
0.23178,0.58016,n
0.14195,0.45604,n
0.26381,0.41645,n
0.13351,0.40922,n
0.05003,0.89335,p
0.13085,0.61764,n
0.21632,0.55860,n
0.31331,0.43213,n
0.13744,0.56250,n
0.05103,0.06235,p
0.26357,0.57201,n
0.41198,0.51931,p
0.16693,0.41651,n
0.75369,0.99465,n
0.25906,0.42803,n
0.27071,0.39958,n
0.11000,0.59341,n
0.21368,0.54400,n
0.86609,0.17486,p
0.24521,0.35440,p
0.07853,0.41887,n
0.22722,0.38089,n
0.68944,0.57592,p
0.27956,0.51960,n
0.12087,0.40451,n
0.23732,0.46886,n
0.59891,0.24953,p
0.25318,0.56877,n
0.14406,0.61472,n
0.17185,0.68426,p
0.14233,0.12708,p
0.20240,0.42234,p
0.63120,0.70622,n
0.14696,0.52978,n
0.32553,0.51272,n
0.78235,0.04501,p
0.17194,0.52321,n
0.27561,0.49350,n
0.61576,0.79673,p
0.11753,0.16037,p
0.16135,0.59130,n
0.22275,0.63911,n
0.11560,0.51486,n
0.23805,0.62090,n
0.30473,0.72915,p
0.10072,0.39344,n
0.23290,0.51895,n
0.12176,0.40776,n
0.25316,0.42907,n
0.15735,0.64326,p
0.23354,0.40029,n
0.21016,0.45491,n
0.30888,0.43965,n
0.26676,0.33693,p
0.63822,0.99511,p
0.97140,0.74368,p
0.20613,0.33979,p
0.01750,0.97362,p
0.23867,0.62268,n
0.28905,0.60320,p
0.83821,0.67482,p
0.10310,0.53716,n
0.29443,0.77606,p
0.37686,0.75928,p
0.89142,0.71233,p
0.27504,0.57087,n
0.18792,0.38870,n
0.18355,0.49727,n
0.14942,0.59135,n
0.20208,0.45518,n
0.02851,0.02925,p
0.96543,0.99858,p
0.55252,0.07744,p
0.59514,0.47177,p
0.68087,0.96445,p
0.51867,0.87624,p
0.98030,0.50711,p
0.13733,0.41776,n
0.74235,0.72634,p
0.26107,0.57517,n
0.11552,0.50715,n
0.10452,0.56249,n
0.17149,0.43815,n
0.32965,0.44039,n
0.38759,0.68553,p
0.27468,0.49470,n
0.26602,0.23463,p
0.64792,0.22812,p
0.09878,0.44169,n
0.34125,0.00493,n
0.82138,0.45325,p
0.71506,0.51440,p
0.57777,0.33243,p
0.32174,0.45484,n
0.16595,0.43346,n
0.70837,0.99973,p
0.23467,0.36899,n
0.29347,0.42757,n
0.23455,0.46991,n
0.76719,0.42592,p
0.32803,0.85670,p
0.28659,0.49734,n
0.52326,0.14949,p
0.77746,0.09638,p
0.33331,0.49509,p
0.24369,0.49329,n
0.05738,0.53676,p
0.19524,0.53239,n
0.73945,0.49074,p
0.16287,0.49255,p
0.14877,0.37601,n
0.30821,0.52387,n
0.10491,0.52556,n
0.25278,0.37259,n
0.60377,0.52452,p
0.10928,0.51977,n
0.08582,0.17762,n
0.30547,0.44428,n
0.34510,0.53642,n
0.26936,0.60021,n
0.27390,0.40339,n
0.44546,0.09511,p
0.35918,0.80519,p
0.18246,0.39265,n
0.85809,0.70599,p
0.31349,0.12868,p
0.13061,0.62507,n
0.49931,0.61778,n
0.31361,0.52026,n
0.22549,0.49599,n
0.96605,0.22889,p
0.30016,0.93229,p
0.28974,0.47152,n
0.20703,0.18668,n
0.18790,0.60740,n
0.93069,0.02897,p
0.85925,0.59211,p
0.34781,0.42302,p
0.29056,0.89368,p
0.23411,0.78416,p
0.36377,0.43551,p
0.12092,0.48048,n
0.05875,0.50633,n
0.19140,0.50659,n
0.34619,0.50127,n
0.17283,0.41433,n
0.20076,0.41760,n
0.29382,0.48408,n
0.75007,0.35105,p
0.92135,0.86669,n
0.25428,0.38899,n
0.21196,0.70328,p
0.16204,0.44906,n
0.14177,0.46697,n
0.20415,0.42530,n
0.46752,0.53622,p
0.98708,0.13640,p
0.30142,0.60449,n
0.51924,0.53018,p
0.02733,0.22670,p
0.23395,0.93158,p
0.28596,0.42820,n
0.14397,0.50431,n
0.10692,0.57979,n
0.18709,0.37586,n
0.12352,0.22578,p
0.16898,0.42418,n
0.60864,0.15680,p
0.98018,0.70289,p
0.51540,0.06479,n
0.18960,0.61429,p
0.23096,0.58646,n
0.11815,0.60551,n
0.09421,0.54928,n
0.26274,0.56401,n
0.34717,0.87058,p
0.21375,0.48485,n
0.75899,0.28840,p
0.01979,0.83519,n
0.76124,0.83534,p
0.14796,0.50666,n
0.92404,0.77979,p
0.07112,0.47183,n
0.07943,0.51147,n
0.30619,0.55719,n
0.68215,0.70854,p
